hhid,child_sex,child_age,home_language,stories_songs,read,confident,how_well_demands,primary_cg_ed,ACE,state
17127425,Male,5,English,Every day,Every day,Mostly confident,Somewhat well,Associate Degree,1,South Dakota
17127430,Female,5,English,Every day,4-6 days,Completely confident,Very well,Master’s Degree,1,South Dakota
17127454,Female,5,English,4-6 days,Every day,Completely confident,Somewhat well,Associate Degree,Exp 1 ACE,Michigan
17127750,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,High School Graduate or GED,1,North Dakota
17128020,Female,5,English,0 days,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Idaho
17128045,Male,5,English,1-3 days,1-3 days,Mostly confident,Very well,Doctorate,1,Nebraska
17128084,Female,5,English,Every day,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Utah
17128480,Female,5,English,1-3 days,1-3 days,Somewhat confident,Somewhat well,High School Graduate or GED,Exp 1 ACE,Oklahoma
17128719,Female,5,English,4-6 days,Every day,Completely confident,Very well,Master’s Degree,1,Washington
17129128,Male,5,English,Every day,Every day,Completely confident,Somewhat well,Master’s Degree,Exp 1 ACE,Arizona
17129261,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Bachelor’s Degree,1,Massachusetts
17129898,Female,5,English,1-3 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,South Dakota
17129931,Male,5,English,Every day,Every day,Completely confident,Very well,"Some College Credit, no Degree",1,New Hampshire
17130369,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",Exp 1 ACE,Montana
17130792,Male,5,Spanish,Every day,Every day,Completely confident,Very well,Master’s Degree,1,District of Columbia
17130826,Female,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Idaho
17130889,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Master’s Degree,1,Delaware
17130946,Male,5,English,Every day,Every day,Completely confident,Very well,Doctorate,1,District of Columbia
17131210,Male,5,English,1-3 days,1-3 days,Somewhat confident,Very well,Master’s Degree,1,Missouri
17131238,Female,5,Other,1-3 days,1-3 days,Somewhat confident,Somewhat well,Master’s Degree,1,North Carolina
17131812,Female,5,English,1-3 days,4-6 days,Completely confident,Very well,High School Graduate or GED,Exp 1 ACE,Montana
17132230,Female,5,English,Every day,Every day,Completely confident,Very well,Doctorate,1,Alabama
17132740,Female,5,English,Every day,Every day,Completely confident,Somewhat well,Doctorate,1,Wisconsin
17133136,Female,5,English,Every day,4-6 days,Completely confident,Very well,Associate Degree,1,Idaho
17133501,Male,5,English,Every day,Every day,Completely confident,Very well,Associate Degree,1,Maryland
17133605,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,High School Graduate or GED,Exp 2 ACE,Massachusetts
17133687,Male,5,English,Every day,Every day,Mostly confident,Somewhat well,Doctorate,1,Washington
17133738,Male,5,English,1-3 days,Every day,Completely confident,Somewhat well,Doctorate,1,Indiana
17133868,Male,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,High School Graduate or GED,Exp 1 ACE,Arkansas
17134386,Male,5,English,1-3 days,Every day,Completely confident,Very well,Bachelor’s Degree,1,New Mexico
17135214,Male,5,English,1-3 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,West Virginia
17135579,Male,5,English,Every day,Every day,Mostly confident,Somewhat well,Bachelor’s Degree,Exp 1 ACE,New Jersey
17135756,Male,5,English,4-6 days,1-3 days,Completely confident,Somewhat well,"Some College Credit, no Degree",1,Pennsylvania
17135827,Female,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Master’s Degree,Exp 1 ACE,New Jersey
17135884,Female,5,English,Every day,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Idaho
17135917,Female,5,English,Every day,4-6 days,Completely confident,Very well,Master’s Degree,1,District of Columbia
17135921,Female,5,English,Every day,Every day,Completely confident,Somewhat well,Bachelor’s Degree,Exp 1 ACE,District of Columbia
17136108,Male,5,English,1-3 days,1-3 days,Somewhat confident,Very well,Bachelor’s Degree,1,South Dakota
17136504,Male,5,English,Every day,Every day,Completely confident,Very well,Master’s Degree,1,South Carolina
17136671,Female,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Bachelor’s Degree,Exp 1 ACE,Louisiana
17136787,Female,5,Other,Every day,Every day,Not at all confident,Somewhat well,Doctorate,1,Maryland
17136815,Male,5,English,1-3 days,0 days,Completely confident,Very well,Bachelor’s Degree,1,Oregon
17136837,Female,5,English,4-6 days,Every day,Completely confident,Very well,Bachelor’s Degree,1,Alaska
17136862,Female,5,English,1-3 days,4-6 days,Completely confident,Very well,High School Graduate or GED,Exp 1 ACE,New Mexico
17136902,Female,5,English,Every day,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,Delaware
17137321,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",Exp 2 ACE,Virginia
17137498,Male,5,English,1-3 days,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",Exp 1 ACE,Oklahoma
17137623,Female,5,English,1-3 days,4-6 days,Completely confident,Very well,Master’s Degree,1,Georgia
17138224,Male,5,English,1-3 days,Every day,Mostly confident,Very well,"Some College Credit, no Degree",1,Wisconsin
17138265,Female,5,English,1-3 days,1-3 days,Completely confident,Very well,High School Graduate or GED,1,Missouri
17138361,Male,5,English,1-3 days,Every day,Completely confident,Very well,"Some College Credit, no Degree",Exp 2 ACE,Alabama
17138805,Male,5,English,4-6 days,Every day,Completely confident,Somewhat well,Bachelor’s Degree,1,California
17138943,Female,5,English,1-3 days,1-3 days,Completely confident,Very well,Associate Degree,1,North Dakota
17139013,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",Exp 1 ACE,California
17139851,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Associate Degree,Exp 1 ACE,New Mexico
17139948,Female,5,English,1-3 days,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",1,Alabama
17140008,Female,5,English,1-3 days,1-3 days,Completely confident,Very well,"Vocational, trade, or business school program",Exp 1 ACE,Wyoming
17140186,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,Exp 1 ACE,Washington
17140235,Male,5,English,4-6 days,4-6 days,Somewhat confident,Somewhat well,High School Graduate or GED,1,Mississippi
17140486,Male,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Associate Degree,Exp 2 ACE,Texas
17140699,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Bachelor’s Degree,1,Maine
17140889,Male,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Massachusetts
17141147,Male,5,English,Every day,Every day,Mostly confident,Very well,Master’s Degree,1,New Jersey
17141248,Female,5,English,4-6 days,Every day,Completely confident,Very well,"Some College Credit, no Degree",1,Arizona
17141385,Female,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,1,South Carolina
17141418,Male,5,English,Every day,4-6 days,Completely confident,Very well,Master’s Degree,Exp 1 ACE,Utah
17141539,Male,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Master’s Degree,1,Maryland
17141706,Female,5,English,4-6 days,1-3 days,Completely confident,Very well,"Vocational, trade, or business school program",1,New Jersey
17141756,Male,5,English,4-6 days,Every day,Mostly confident,Very well,Bachelor’s Degree,1,South Carolina
17141964,Female,5,English,4-6 days,4-6 days,Completely confident,Somewhat well,"Some College Credit, no Degree",1,New York
17142239,Female,5,English,Every day,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",1,Hawaii
17142673,Female,5,English,1-3 days,Every day,Completely confident,Somewhat well,Doctorate,1,District of Columbia
17142685,Male,5,English,4-6 days,4-6 days,Completely confident,Somewhat well,"Some College Credit, no Degree",Exp 1 ACE,District of Columbia
17143249,Male,5,English,1-3 days,Every day,Completely confident,Very well,Associate Degree,Exp 2 ACE,North Carolina
17143457,Male,5,English,Every day,Every day,Completely confident,Very well,Associate Degree,Exp 2 ACE,Oklahoma
17144081,Female,5,Spanish,1-3 days,4-6 days,Completely confident,Very well,Associate Degree,1,Florida
17144174,Female,5,English,1-3 days,Every day,Completely confident,Very well,"Vocational, trade, or business school program",Exp 2 ACE,Pennsylvania
17144206,Male,5,English,4-6 days,Every day,Completely confident,Very well,Associate Degree,1,Tennessee
17144232,Male,5,English,Every day,Every day,Completely confident,Very well,Master’s Degree,1,Illinois
17144447,Female,5,English,1-3 days,1-3 days,Completely confident,Very well,Associate Degree,1,Idaho
17144488,Male,5,Spanish,4-6 days,Every day,Completely confident,Very well,High School Graduate or GED,1,New York
17144751,Female,5,English,Every day,4-6 days,Completely confident,Very well,Master’s Degree,1,New York
17144779,Female,5,English,4-6 days,Every day,Completely confident,Very well,Master’s Degree,Exp 1 ACE,North Carolina
17144844,Male,5,English,1-3 days,4-6 days,Mostly confident,Very well,Bachelor’s Degree,1,Montana
